algorithm,n,type,time_ms
std_quick,100,random,0.3554
std_merge,100,random,0.1478
ternary_quick,100,random,0.0292
msd,100,random,0.1408
msd_hybrid,100,random,0.019
string_merge,100,random,0.1042
std_quick,200,random,0.7298
std_merge,200,random,0.3342
ternary_quick,200,random,0.0624
msd,200,random,0.3152
msd_hybrid,200,random,0.0398
string_merge,200,random,0.2246
std_quick,300,random,1.0964
std_merge,300,random,0.5376
ternary_quick,300,random,0.0962
msd,300,random,0.3906
msd_hybrid,300,random,0.0616
string_merge,300,random,0.3414
std_quick,400,random,1.52
std_merge,400,random,0.7534
ternary_quick,400,random,0.1426
msd,400,random,0.4546
msd_hybrid,400,random,0.0838
string_merge,400,random,0.468
std_quick,500,random,2.2354
std_merge,500,random,1.0054
ternary_quick,500,random,0.1884
msd,500,random,0.501
msd_hybrid,500,random,0.1172
string_merge,500,random,0.6182
std_quick,600,random,2.6496
std_merge,600,random,1.3184
ternary_quick,600,random,0.2336
msd,600,random,0.6186
msd_hybrid,600,random,0.1542
string_merge,600,random,1.1098
std_quick,700,random,3.9202
std_merge,700,random,1.483
ternary_quick,700,random,0.2768
msd,700,random,0.6192
msd_hybrid,700,random,0.1728
string_merge,700,random,0.9044
std_quick,800,random,5.195
std_merge,800,random,1.7904
ternary_quick,800,random,0.3272
msd,800,random,0.7086
msd_hybrid,800,random,0.1984
string_merge,800,random,1.0484
std_quick,900,random,3.5552
std_merge,900,random,1.9346
ternary_quick,900,random,0.3542
msd,900,random,0.8014
msd_hybrid,900,random,0.2428
string_merge,900,random,1.2246
std_quick,1000,random,4.0078
std_merge,1000,random,2.1338
ternary_quick,1000,random,0.4146
msd,1000,random,0.8478
msd_hybrid,1000,random,0.261
string_merge,1000,random,1.3114
std_quick,1100,random,4.2624
std_merge,1100,random,2.4196
ternary_quick,1100,random,0.5022
msd,1100,random,0.9288
msd_hybrid,1100,random,0.304
string_merge,1100,random,1.4996
std_quick,1200,random,4.7724
std_merge,1200,random,2.6802
ternary_quick,1200,random,0.5522
msd,1200,random,1.071
msd_hybrid,1200,random,0.347
string_merge,1200,random,1.8114
std_quick,1300,random,5.7012
std_merge,1300,random,3.3576
ternary_quick,1300,random,0.6064
msd,1300,random,1.3186
msd_hybrid,1300,random,0.397
string_merge,1300,random,1.9224
std_quick,1400,random,5.9546
std_merge,1400,random,3.432
ternary_quick,1400,random,0.6362
msd,1400,random,1.387
msd_hybrid,1400,random,0.5144
string_merge,1400,random,2.33
std_quick,1500,random,6.5546
std_merge,1500,random,3.7026
ternary_quick,1500,random,0.6552
msd,1500,random,1.3542
msd_hybrid,1500,random,0.4808
string_merge,1500,random,2.3106
std_quick,1600,random,6.4832
std_merge,1600,random,3.71
ternary_quick,1600,random,0.714
msd,1600,random,1.4808
msd_hybrid,1600,random,0.4706
string_merge,1600,random,2.2346
std_quick,1700,random,6.7976
std_merge,1700,random,3.8832
ternary_quick,1700,random,0.7778
msd,1700,random,1.5968
msd_hybrid,1700,random,0.504
string_merge,1700,random,2.3938
std_quick,1800,random,7.3344
std_merge,1800,random,4.1642
ternary_quick,1800,random,0.797
msd,1800,random,1.737
msd_hybrid,1800,random,0.5552
string_merge,1800,random,2.5546
std_quick,1900,random,7.7252
std_merge,1900,random,4.4226
ternary_quick,1900,random,0.8608
msd,1900,random,1.7944
msd_hybrid,1900,random,0.578
string_merge,1900,random,2.6922
std_quick,2000,random,8.107
std_merge,2000,random,4.6906
ternary_quick,2000,random,0.8956
msd,2000,random,1.9806
msd_hybrid,2000,random,0.6158
string_merge,2000,random,2.8442
std_quick,2100,random,9.319
std_merge,2100,random,5.3968
ternary_quick,2100,random,1.2912
msd,2100,random,2.1858
msd_hybrid,2100,random,0.6506
string_merge,2100,random,3.0238
std_quick,2200,random,9.0604
std_merge,2200,random,5.3904
ternary_quick,2200,random,1.0082
msd,2200,random,2.2314
msd_hybrid,2200,random,0.7128
string_merge,2200,random,3.191
std_quick,2300,random,9.4052
std_merge,2300,random,5.4248
ternary_quick,2300,random,1.106
msd,2300,random,2.3596
msd_hybrid,2300,random,0.729
string_merge,2300,random,3.3214
std_quick,2400,random,9.5672
std_merge,2400,random,5.656
ternary_quick,2400,random,1.1352
msd,2400,random,2.516
msd_hybrid,2400,random,0.7714
string_merge,2400,random,3.4834
std_quick,2500,random,9.9084
std_merge,2500,random,6.0392
ternary_quick,2500,random,1.205
msd,2500,random,2.6864
msd_hybrid,2500,random,0.8158
string_merge,2500,random,3.6476
std_quick,2600,random,10.4298
std_merge,2600,random,6.268
ternary_quick,2600,random,1.2506
msd,2600,random,2.754
msd_hybrid,2600,random,0.866
string_merge,2600,random,3.7902
std_quick,2700,random,10.9426
std_merge,2700,random,6.5816
ternary_quick,2700,random,1.339
msd,2700,random,2.9214
msd_hybrid,2700,random,0.8822
string_merge,2700,random,4.0068
std_quick,2800,random,11.299
std_merge,2800,random,6.7922
ternary_quick,2800,random,1.315
msd,2800,random,3.0962
msd_hybrid,2800,random,0.9162
string_merge,2800,random,4.1102
std_quick,2900,random,11.6364
std_merge,2900,random,7.056
ternary_quick,2900,random,1.4124
msd,2900,random,3.2842
msd_hybrid,2900,random,0.9664
string_merge,2900,random,4.2982
std_quick,3000,random,12.2168
std_merge,3000,random,7.3684
ternary_quick,3000,random,1.444
msd,3000,random,3.4194
msd_hybrid,3000,random,1.0094
string_merge,3000,random,4.4316
std_quick,100,reverse,0.3588
std_merge,100,reverse,0.1332
ternary_quick,100,reverse,0.1016
msd,100,reverse,0.141
msd_hybrid,100,reverse,0.0186
string_merge,100,reverse,0.0912
std_quick,200,reverse,0.728
std_merge,200,reverse,0.2966
ternary_quick,200,reverse,0.2636
msd,200,reverse,0.2918
msd_hybrid,200,reverse,0.0416
string_merge,200,reverse,0.1886
std_quick,300,reverse,1.0942
std_merge,300,reverse,0.4718
ternary_quick,300,reverse,0.4106
msd,300,reverse,0.3738
msd_hybrid,300,reverse,0.0648
string_merge,300,reverse,0.291
std_quick,400,reverse,1.4438
std_merge,400,reverse,0.6552
ternary_quick,400,reverse,0.5916
msd,400,reverse,0.4328
msd_hybrid,400,reverse,0.0984
string_merge,400,reverse,0.3982
std_quick,500,reverse,1.8188
std_merge,500,reverse,0.8394
ternary_quick,500,reverse,0.749
msd,500,reverse,0.497
msd_hybrid,500,reverse,0.1318
string_merge,500,reverse,0.5468
std_quick,600,reverse,2.3066
std_merge,600,reverse,1.0538
ternary_quick,600,reverse,0.878
msd,600,reverse,0.5624
msd_hybrid,600,reverse,0.1676
string_merge,600,reverse,0.6146
std_quick,700,reverse,2.7614
std_merge,700,reverse,1.2506
ternary_quick,700,reverse,1.0358
msd,700,reverse,0.6156
msd_hybrid,700,reverse,0.2088
string_merge,700,reverse,0.7298
std_quick,800,reverse,3.0804
std_merge,800,reverse,1.4392
ternary_quick,800,reverse,1.1976
msd,800,reverse,0.6862
msd_hybrid,800,reverse,0.2558
string_merge,800,reverse,0.851
std_quick,900,reverse,3.32
std_merge,900,reverse,1.6512
ternary_quick,900,reverse,1.3684
msd,900,reverse,0.7676
msd_hybrid,900,reverse,0.3074
string_merge,900,reverse,0.9406
std_quick,1000,reverse,3.7588
std_merge,1000,reverse,1.8192
ternary_quick,1000,reverse,1.533
msd,1000,reverse,0.8504
msd_hybrid,1000,reverse,0.362
string_merge,1000,reverse,1.0514
std_quick,1100,reverse,4.0866
std_merge,1100,reverse,2.042
ternary_quick,1100,reverse,1.6964
msd,1100,reverse,0.9466
msd_hybrid,1100,reverse,0.4182
string_merge,1100,reverse,1.1674
std_quick,1200,reverse,4.6226
std_merge,1200,reverse,2.296
ternary_quick,1200,reverse,1.8292
msd,1200,reverse,1.0562
msd_hybrid,1200,reverse,0.4814
string_merge,1200,reverse,1.3022
std_quick,1300,reverse,5.087
std_merge,1300,reverse,2.4964
ternary_quick,1300,reverse,2.0138
msd,1300,reverse,1.1896
msd_hybrid,1300,reverse,0.5404
string_merge,1300,reverse,1.402
std_quick,1400,reverse,5.336
std_merge,1400,reverse,2.6962
ternary_quick,1400,reverse,2.1832
msd,1400,reverse,1.229
msd_hybrid,1400,reverse,0.6138
string_merge,1400,reverse,1.5318
std_quick,1500,reverse,5.809
std_merge,1500,reverse,2.9004
ternary_quick,1500,reverse,2.4088
msd,1500,reverse,1.3424
msd_hybrid,1500,reverse,0.6908
string_merge,1500,reverse,1.6204
std_quick,1600,reverse,6.1188
std_merge,1600,reverse,3.1384
ternary_quick,1600,reverse,2.6102
msd,1600,reverse,1.4528
msd_hybrid,1600,reverse,0.7706
string_merge,1600,reverse,1.749
std_quick,1700,reverse,6.3498
std_merge,1700,reverse,3.3302
ternary_quick,1700,reverse,2.7456
msd,1700,reverse,1.4986
msd_hybrid,1700,reverse,0.8226
string_merge,1700,reverse,1.8182
std_quick,1800,reverse,6.6626
std_merge,1800,reverse,3.4574
ternary_quick,1800,reverse,2.9178
msd,1800,reverse,1.6418
msd_hybrid,1800,reverse,0.9034
string_merge,1800,reverse,1.9604
std_quick,1900,reverse,7.1866
std_merge,1900,reverse,3.7156
ternary_quick,1900,reverse,3.1262
msd,1900,reverse,1.792
msd_hybrid,1900,reverse,0.9886
string_merge,1900,reverse,2.0388
std_quick,2000,reverse,7.5788
std_merge,2000,reverse,3.878
ternary_quick,2000,reverse,3.3354
msd,2000,reverse,1.9318
msd_hybrid,2000,reverse,1.125
string_merge,2000,reverse,2.1868
std_quick,2100,reverse,7.8492
std_merge,2100,reverse,4.1486
ternary_quick,2100,reverse,3.5106
msd,2100,reverse,2.0154
msd_hybrid,2100,reverse,1.1768
string_merge,2100,reverse,2.2972
std_quick,2200,reverse,8.3252
std_merge,2200,reverse,4.3764
ternary_quick,2200,reverse,3.6296
msd,2200,reverse,2.2316
msd_hybrid,2200,reverse,1.2542
